
1221,YANZHOU COAL MINING CO LTD,0001048098,https://www.sec.gov/Archives/edgar/data/1048098/000119312511172891/dex46.htm,https://www.sec.gov/Archives/edgar/data/1048098/000119312511172891/0001193125-11-172891-index.htm,JOINT VENTURE CONTRACT BY YANKUANG GROUP COMPANY LTD.,2011-06-24
1221,WESTMORELAND COAL Co,0000106455,https://www.sec.gov/Archives/edgar/data/106455/000010645501000006/0000106455-01-000006-0001.txt,https://www.sec.gov/Archives/edgar/data/106455/000010645501000006/0000106455-01-000006-index.htm,AMENDMENT NO. 1 TO FORM 10-K FOR 1999,2001-03-05
1221,PEABODY ENERGY CORP,0001064728,https://www.sec.gov/Archives/edgar/data/1064728/000095012304002846/y94847a1exv4w206.txt,https://www.sec.gov/Archives/edgar/data/1064728/000095012304002846/0000950123-04-002846-index.htm,LIMITED LIABILITY COMPANY AGREEMENT,2004-03-04
1221,PEABODY ENERGY CORP,0001064728,https://www.sec.gov/Archives/edgar/data/1064728/000095013705001867/c91878exv99w1.txt,https://www.sec.gov/Archives/edgar/data/1064728/000095013705001867/0000950137-05-001867-index.htm,AUDITED FINANCIAL STATEMENTS,2005-02-16
1221,PEABODY ENERGY CORP,0001064728,https://www.sec.gov/Archives/edgar/data/1064728/000095013704001687/c83560exv2w2.txt,https://www.sec.gov/Archives/edgar/data/1064728/000095013704001687/0000950137-04-001687-index.htm,SHARE PURCHASE AGREEMENT,2004-03-10
1221,NATIONAL COAL CORP,0001089575,https://www.sec.gov/Archives/edgar/data/1089575/000117091809000145/ex10-2p.txt,https://www.sec.gov/Archives/edgar/data/1089575/000117091809000145/0001170918-09-000145-index.htm,EX-10.2,2009-04-14
1221,NATIONAL COAL CORP,0001089575,https://www.sec.gov/Archives/edgar/data/1089575/000117091806000332/security-agr.txt,https://www.sec.gov/Archives/edgar/data/1089575/000117091806000332/0001170918-06-000332-index.htm,EX-4.3,2006-04-12
1382,HOUSTON EXPLORATION CO,0001015293,https://www.sec.gov/Archives/edgar/data/1015293/000095012904008091/h19374exv4w2.txt,https://www.sec.gov/Archives/edgar/data/1015293/000095012904008091/0000950129-04-008091-index.htm,FORM OF SUBORDINATED DEBT INDENTURE,2004-10-27
1382,HOUSTON EXPLORATION CO,0001015293,https://www.sec.gov/Archives/edgar/data/38079/000110465907043737/a07-14803_2ex10d2.htm,https://www.sec.gov/Archives/edgar/data/1015293/000110465907043737/0001104659-07-043737-index.htm,EX-10.2,2007-05-30
1400,HECLA MINING CO/DE/,0000719413,https://www.sec.gov/Archives/edgar/data/719413/000089710103000614/hecla032673_424b3.txt,https://www.sec.gov/Archives/edgar/data/719413/000089710103000614/0000897101-03-000614-index.htm,HECLA MINING COMPANY FOR 424(B)(3),2003-06-18
